date,netPnl,slippage,commission,turnover,tradeCount,tradingPnl,positionPnl,totalPnl,balance,return,retWithoutFee,highlevel,drawdown,ddPercent
2015-06-01,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0
2015-06-02,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0
2015-06-03,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0
2015-06-04,-10861.582999999991,0.39,198.39300000000003,396786.0,2,-10662.799999999992,0.0,-10662.799999999992,-9861.582999999991,-10.86158299999999,-10.662799999999992,1000.0,-10861.582999999991,-1086.1582999999991
2015-06-05,40.0,0.0,0.0,0.0,0,0.0,40.0,40.0,-9821.582999999991,0.04,0.04,1000.0,-10821.582999999991,-1082.1582999999991
2015-06-08,-210.0,0.0,0.0,0.0,0,0.0,-210.0,-210.0,-10031.582999999991,-0.21,-0.21,1000.0,-11031.582999999991,-1103.1582999999991
2015-06-09,170.0,0.0,0.0,0.0,0,0.0,170.0,170.0,-9861.582999999991,0.17,0.17,1000.0,-10861.582999999991,-1086.1582999999991
2015-06-10,-4.800000000001091,0.0,0.0,0.0,0,0.0,-4.800000000001091,-4.800000000001091,-9866.382999999993,-0.004800000000001092,-0.004800000000001092,1000.0,-10866.382999999993,-1086.6382999999992
2015-06-11,-93.60000000000036,0.0,0.0,0.0,0,0.0,-93.60000000000036,-93.60000000000036,-9959.982999999993,-0.09360000000000036,-0.09360000000000036,1000.0,-10959.982999999993,-1095.9982999999993
2015-06-12,-124.0,0.0,0.0,0.0,0,0.0,-124.0,-124.0,-10083.982999999993,-0.124,-0.124,1000.0,-11083.982999999993,-1108.3982999999994
2015-06-15,1067.7919999999933,0.19,99.218,198436.0,1,843.5999999999931,323.60000000000036,1167.1999999999935,-9016.190999999999,1.0677919999999934,1.1671999999999934,1000.0,-10016.190999999999,-1001.6190999999999
2015-06-16,5224.000000000015,0.0,0.0,0.0,0,0.0,5224.000000000015,5224.000000000015,-3792.1909999999843,5.224000000000014,5.224000000000014,1000.0,-4792.190999999984,-479.2190999999985
2015-06-17,-1784.0000000000146,0.0,0.0,0.0,0,0.0,-1784.0000000000146,-1784.0000000000146,-5576.190999999999,-1.7840000000000145,-1.7840000000000145,1000.0,-6576.190999999999,-657.6190999999999
